Data;15861 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - %;15862 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - %;15863 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amapá - Pessoas físicas - %;15864 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - %;15865 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Bahia - Pessoas físicas - %;15866 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Ceará - Pessoas físicas - %;15867 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - %;15868 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Espírito Santo - Pessoas físicas - %;15869 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - %
12/2007;3,29 ;6,18 ;4,17 ;6,26 ;7,26 ;6,12 ;4,17 ;3,73 ;3,75
01/2008;3,19 ;6,24 ;4,14 ;6,20 ;7,49 ;6,10 ;4,14 ;3,77 ;3,90
02/2008;3,37 ;6,26 ;4,20 ;6,25 ;7,44 ;6,11 ;4,12 ;3,68 ;3,83
03/2008;3,53 ;6,37 ;4,25 ;6,18 ;7,43 ;6,08 ;4,06 ;3,83 ;3,72
04/2008;3,59 ;6,47 ;4,39 ;6,22 ;7,62 ;6,12 ;4,01 ;3,93 ;3,92
05/2008;4,17 ;6,50 ;4,66 ;6,44 ;7,69 ;6,36 ;4,18 ;4,15 ;4,44
06/2008;4,12 ;6,17 ;4,57 ;6,33 ;7,40 ;6,21 ;3,99 ;4,02 ;4,22
07/2008;4,14 ;6,30 ;4,84 ;6,47 ;7,48 ;6,24 ;4,02 ;4,08 ;4,20
08/2008;4,05 ;6,53 ;4,91 ;6,52 ;7,58 ;6,55 ;4,09 ;4,10 ;4,43
09/2008;4,16 ;6,47 ;4,93 ;6,51 ;7,45 ;6,24 ;4,08 ;4,09 ;4,07
10/2008;4,68 ;6,64 ;5,56 ;6,71 ;7,61 ;6,07 ;4,17 ;4,21 ;4,34
11/2008;4,87 ;6,69 ;5,84 ;6,91 ;7,69 ;6,06 ;4,44 ;4,30 ;4,57
12/2008;5,06 ;6,67 ;6,00 ;7,02 ;7,45 ;5,98 ;4,42 ;4,42 ;4,47
01/2009;5,39 ;6,94 ;6,51 ;7,35 ;8,45 ;6,11 ;4,75 ;4,81 ;5,12
02/2009;5,33 ;7,08 ;6,93 ;7,49 ;8,60 ;6,26 ;4,96 ;5,00 ;5,31
03/2009;5,74 ;7,19 ;7,26 ;7,59 ;8,62 ;6,35 ;5,04 ;5,20 ;5,50
04/2009;6,00 ;7,10 ;7,33 ;7,59 ;8,62 ;6,28 ;5,01 ;5,35 ;5,96
05/2009;6,28 ;7,21 ;7,58 ;7,85 ;8,47 ;6,58 ;5,27 ;5,58 ;5,93
06/2009;6,52 ;7,19 ;7,29 ;7,85 ;8,35 ;6,56 ;5,23 ;5,52 ;6,16
